strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size
jackknife_plus_ab,linear,0.9,3.14660538,0.777464045,12480.53262,1881.849207,1,500,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.91666667 0.85       0.85       0.91666667]],1
cqr,linear,0.903333333,2.633005612,0.736699431,10338.84348,0.098768711,0,500,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.8        0.95       0.93333333 0.95      ]],1
cqr,linear,0.906666667,1.380969215,0.867393394,15116.55134,0.069000483,0.2,500,normal,"(400, 2000, 2000, 2000)",[[0.8        0.93333333 0.93333333 0.95       0.91666667]],1
cqr,linear,0.93,1.929023058,0.82947293,14585.11708,0.073000908,0.5,500,normal,"(400, 2000, 2000, 2000)",[[0.83333333 0.95       0.91666667 1.         0.95      ]],1
cqr,linear,0.94,3.772072884,0.733228215,11286.05819,0.076998711,1,500,normal,"(400, 2000, 2000, 2000)",[[0.9  0.9  0.95 1.   0.95]],1
split,linear,0.936666667,0.005104628,0.999488193,20052.89164,9.394730091,0,1000,normal,"(400, 2000)",999,1
split,linear,0.92,0.723533716,0.929761766,17943.1897,11.69463944,0.2,1000,normal,"(400, 2000)",999,1
split,linear,0.853333333,1.430378562,0.871952389,16192.9103,8.513241768,0.5,1000,normal,"(400, 2000)",999,1
split,linear,0.883333333,3.149833576,0.759510507,12342.06129,17.7236259,1,1000,normal,"(400, 2000)",999,1
jackknife_plus,linear,1,0.051727045,0.994817347,19933.64129,22.17037153,0,1000,normal,"(400, 2000)",[[1. 1. 1. 1. 1.]],1
jackknife_plus,linear,0.9,0.655784417,0.936338978,18195.77946,28.50032806,0.2,1000,normal,"(400, 2000)",[[0.88333333 0.9        0.9        0.88333333 0.93333333]],1
jackknife_plus,linear,0.94,1.769331086,0.841610332,15468.1471,23.25474072,0.5,1000,normal,"(400, 2000)",[[0.93333333 0.86666667 0.96666667 0.96666667 0.96666667]],1
jackknife_plus,linear,0.903333333,3.475788761,0.734624085,11592.8323,34.75952315,1,1000,normal,"(400, 2000)",[[0.93333333 0.88333333 0.85       0.91666667 0.93333333]],1
jackknife_plus_ab,linear,0.893333333,0.007154477,0.999284508,20044.08493,245.9986036,0,1000,normal,"(400, 2000)",[[0.9        0.85       0.95       0.98333333 0.78333333]],1
jackknife_plus_ab,linear,0.893333333,0.652235497,0.936683452,18173.80597,253.3636806,0.2,1000,normal,"(400, 2000)",[[0.86666667 0.86666667 0.93333333 0.88333333 0.91666667]],1
jackknife_plus_ab,linear,0.9,1.586230943,0.858002576,15894.00866,243.2759624,0.5,1000,normal,"(400, 2000)",[[0.9        0.9        0.88333333 0.88333333 0.93333333]],1
