strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc
jackknife_plus_ab,sinex_con,0.9066666666666666,6.6419176882920405,0.6314187898678328,4251.90763575466,359.6248993873596,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.88333333 0.93333333 0.88333333 0.9        0.93333333]]
jackknife_plus_ab,sinex_con,0.9,9.155900489465983,0.6198449331068102,3603.8407604694353,341.80543994903564,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.88333333 0.9        0.88333333 0.88333333 0.95      ]]
cqr,sinex_con,0.8633333333333333,2.5194796913351354,0.7898612486683582,9441.264696270686,0.065000295639038,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.8        0.8        0.9        0.9        0.91666667]]
cqr,sinex_con,0.9166666666666666,5.152432911279156,0.622283137125062,6084.083925261811,0.0629975795745849,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.85       0.9        0.96666667 0.91666667 0.95      ]]
cqr,sinex_con,0.9466666666666668,8.787255787792583,0.5123660532098853,2882.6567759869054,0.062185525894165,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.96666667 0.91666667 0.91666667 0.95       0.98333333]]
cqr,sinex_con,0.8466666666666667,9.776223075281903,0.5940873086674849,3508.4898492672723,0.0610008239746093,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.75       0.8        0.81666667 0.91666667 0.95      ]]
split,linear,0.8866666666666667,2.2928383663826413,0.8270280494382803,13785.13397953874,10.979188680648804,0.5,300,laplace,"(200, 1000, 1000, 1000)",999
split,linear,0.9466666666666668,5.731497495389251,0.6258887685235311,8126.067089743142,9.775994062423706,1.0,300,laplace,"(200, 1000, 1000, 1000)",999
split,linear,0.88,6.627558546988631,0.7050245331581307,8214.438470945805,11.011765718460085,1.5,300,laplace,"(200, 1000, 1000, 1000)",999
split,linear,0.86,8.194803497413602,0.6935107317457208,7991.963289861466,13.356655597686768,2.0,300,laplace,"(200, 1000, 1000, 1000)",999
split_resid_norm,linear,0.9733333333333334,3.816954468938805,0.7120449971584192,10633.094696510112,16.9754319190979,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.95       0.91666667 1.         1.         1.        ]]
split_resid_norm,linear,0.9433333333333334,10.889419754396394,0.289218479539424,4625.464396017787,11.017287731170654,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.78333333 0.93333333 1.         1.         1.        ]]
split_resid_norm,linear,0.9866666666666668,23.01791086378086,-0.0244664374369692,2328.5437684913204,7.789852857589722,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.93333333 1.         1.         1.         1.        ]]
split_resid_norm,linear,0.95,25.96188772812505,0.0290173813801904,3252.601209528508,11.330347776412964,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.81666667 0.93333333 1.         1.         1.        ]]
jackknife_plus,linear,0.9133333333333332,2.6792144901434143,0.7978798268386497,12906.01735412235,47.67476558685303,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.91666667 0.93333333 0.93333333 0.96666667 0.81666667]]
jackknife_plus,linear,0.9266666666666666,5.053346762945293,0.6701543313071031,8538.236670919721,34.06544041633606,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.91666667 0.95       0.91666667 0.93333333 0.91666667]]
jackknife_plus,linear,0.8933333333333333,7.0789216057644015,0.6849358031286201,7543.036657219824,34.18786644935608,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.86666667 0.86666667 0.9        0.9        0.93333333]]
