strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
split_resid_norm,linear_multi,0.91,0.022857027,0.991015138,5264.551071,4.005460262,0,500,normal,"(200, 1000)",[[0.77 0.87 0.96 0.96 0.99]],50,adam,1,0.008984763,5,tanh
split_resid_norm,linear_multi,0.968,0.024664824,0.99030004,5261.837484,4.182971478,0.2,500,normal,"(200, 1000)",[[0.9  0.96 0.99 0.99 1.  ]],50,adam,1,0.009695381,5,tanh
split_resid_norm,linear_multi,0.918,0.03912225,0.984621297,5187.276721,4.323323011,0.5,500,normal,"(200, 1000)",[[0.66 0.93 1.   1.   1.  ]],50,adam,1,0.015378384,5,tanh
split_resid_norm,linear_multi,0.898,0.064395278,0.974687155,5078.537738,4.406548977,1,500,normal,"(200, 1000)",[[0.61 0.9  0.98 1.   1.  ]],50,adam,1,0.025312841,5,tanh
cv_plus,linear_multi,0.934,0.014642014,0.994243289,5306.815175,103.8641713,0,500,normal,"(200, 1000)",[[0.89 0.98 1.   0.97 0.83]],50,adam,1,0.005755561,5,tanh
cv_plus,linear_multi,0.946,0.017661058,0.993055595,5288.441833,107.401046,0.2,500,normal,"(200, 1000)",[[0.89 1.   0.98 0.93 0.93]],50,adam,1,0.006942303,5,tanh
cv_plus,linear_multi,0.946,0.01951119,0.992328337,5284.195872,116.3009813,0.5,500,normal,"(200, 1000)",[[0.91 0.97 0.97 0.97 0.91]],50,adam,1,0.007669563,5,tanh
cv_plus,linear_multi,0.952,0.024986925,0.990175328,5259.710053,110.6664879,1,500,normal,"(200, 1000)",[[0.93 0.99 0.97 0.96 0.91]],50,adam,1,0.009821994,5,tanh
jackknife_plus_ab,linear_multi,0.904,0.012971277,0.994901165,5312.751493,99.50593972,0,500,normal,"(200, 1000)",[[0.91 0.9  0.89 0.89 0.93]],50,adam,1,0.005098819,5,tanh
jackknife_plus_ab,linear_multi,0.906,0.014471626,0.99431138,5306.774671,99.6955626,0.2,500,normal,"(200, 1000)",[[0.87 0.86 0.91 0.92 0.97]],50,adam,1,0.005688584,5,tanh
jackknife_plus_ab,linear_multi,0.904,0.016973501,0.99332795,5295.096933,102.9860046,0.5,500,normal,"(200, 1000)",[[0.83 0.93 0.93 0.93 0.9 ]],50,adam,1,0.006672035,5,tanh
jackknife_plus_ab,linear_multi,0.898,0.020485034,0.991947629,5283.047984,106.2828701,1,500,normal,"(200, 1000)",[[0.92 0.94 0.92 0.84 0.87]],50,adam,1,0.008052367,5,tanh
split_resid_norm,linear_multi,0.88,0.063455112,0.975056335,5045.580676,27.96490526,0,500,normal,"(200, 1000)",[[0.6  0.88 0.99 0.96 0.97]],50,adam,1,0.024943275,5,logistic
split_resid_norm,linear_multi,0.988,5.947450677,-1.337845419,9.892504122,15.78020954,0.2,500,normal,"(200, 1000)",[[0.94 1.   1.   1.   1.  ]],50,adam,1,2.337855779,5,logistic
split_resid_norm,linear_multi,0.942,2.671658262,-0.050189656,114.4155239,19.51530313,0.5,500,normal,"(200, 1000)",[[0.74 0.97 1.   1.   1.  ]],50,adam,1,1.050189745,5,logistic
split_resid_norm,linear_multi,0.946,2.616502933,-0.028508932,171.5866553,2.008765936,1,500,normal,"(200, 1000)",[[0.85 0.89 0.99 1.   1.  ]],50,adam,1,1.028508993,5,logistic
cv_plus,linear_multi,0.954,0.905160333,0.644192848,989.0379024,558.6573262,0,500,normal,"(200, 1000)",[[1.   1.   1.   1.   0.77]],50,adam,1,0.355805274,5,logistic
cv_plus,linear_multi,0.964,1.326659255,0.478507712,352.406606,380.0172739,0.2,500,normal,"(200, 1000)",[[1.   1.   1.   1.   0.82]],50,adam,1,0.521490328,5,logistic
cv_plus,linear_multi,0.946,0.580908819,0.771651616,1972.017069,725.8553057,0.5,500,normal,"(200, 1000)",[[1.   1.   1.   0.91 0.82]],50,adam,1,0.228346751,5,logistic
cv_plus,linear_multi,0.942,1.464366074,0.424378389,233.3162623,263.332437,1,500,normal,"(200, 1000)",[[1.   1.   1.   1.   0.71]],50,adam,1,0.575620863,5,logistic
jackknife_plus_ab,linear_multi,0.94,0.33170106,0.869611779,3324.580057,615.9746318,0,500,normal,"(200, 1000)",[[1.  1.  1.  1.  0.7]],50,adam,1,0.13038683,5,logistic
jackknife_plus_ab,linear_multi,0.908,0.44683818,0.824354401,2722.291788,586.9735944,0.2,500,normal,"(200, 1000)",[[1.   1.   1.   1.   0.54]],50,adam,1,0.175645546,5,logistic
